site,lat,lon
Sydney,-33.8688,151.2093
Melbourne,-37.8136,144.9631
Brisbane,-27.4698,153.0251
Perth,-31.9505,115.8605
Adelaide,-34.9285,138.6007
Gold Coast,-28.0167,153.4
Newcastle,-32.9167,151.75
Canberra,-35.282,149.1287
Hobart,-42.8821,147.3272
Darwin,-12.4634,130.8456
Coleambally Solar Farm,-34.8667,145.7333
Victoria Solar Farm,-36.7581,144.2833
Emu Downs Solar Farm,-30.5,115.8605
Collector Solar Farm,-34.87,149.39
Ararat Wind Farm,-37.2328,143.0314
Cattle Hill Wind Farm,-42.151,146.688
Coopers Gap Wind Farm,-26.55,151.33
Gullen Range Wind Farm,-34.9285,149.4219
